location,population,date,highest_infection_count,percentage_of_population_infected_with_covid
Austria,8939617,10/26/2022,5416866,60.5900
Gibraltar,32677,7/13/2022,19796,60.5800
Gibraltar,32677,7/12/2022,19796,60.5800
Gibraltar,32677,7/11/2022,19796,60.5800
Gibraltar,32677,7/10/2022,19796,60.5800
Gibraltar,32677,7/9/2022,19796,60.5800
Gibraltar,32677,7/8/2022,19796,60.5800
Gibraltar,32677,7/7/2022,19796,60.5800
Austria,8939617,10/25/2022,5408648,60.5000
Austria,8939617,10/24/2022,5402162,60.4300
"Faeroe Islands",53117,2/20/2022,32044,60.3300
"Faeroe Islands",53117,2/21/2022,32044,60.3300
"Faeroe Islands",53117,2/22/2022,32044,60.3300
Austria,8939617,10/23/2022,5387830,60.2700
Austria,8939617,10/22/2022,5387830,60.2700
Austria,8939617,10/21/2022,5387830,60.2700
Austria,8939617,10/20/2022,5379734,60.1800
Gibraltar,32677,7/6/2022,19633,60.0800
Gibraltar,32677,7/5/2022,19633,60.0800
Gibraltar,32677,7/4/2022,19633,60.0800
Gibraltar,32677,7/3/2022,19633,60.0800
Gibraltar,32677,7/2/2022,19633,60.0800
Gibraltar,32677,7/1/2022,19633,60.0800
Gibraltar,32677,6/30/2022,19633,60.0800
Austria,8939617,10/19/2022,5369885,60.0700
Austria,8939617,10/18/2022,5356174,59.9200
Austria,8939617,10/17/2022,5346939,59.8100
Austria,8939617,10/16/2022,5340548,59.7400
Austria,8939617,10/15/2022,5331324,59.6400
Austria,8939617,10/14/2022,5319474,59.5000
Austria,8939617,10/13/2022,5306372,59.3600
Cyprus,896007,7/14/2022,530510,59.2100
Cyprus,896007,7/13/2022,530510,59.2100
Cyprus,896007,7/12/2022,530510,59.2100
Cyprus,896007,7/11/2022,530510,59.2100
Cyprus,896007,7/10/2022,530510,59.2100
Cyprus,896007,7/9/2022,530510,59.2100
Cyprus,896007,7/8/2022,530510,59.2100
Austria,8939617,10/12/2022,5292125,59.2000
Gibraltar,32677,6/29/2022,19306,59.0800
Gibraltar,32677,6/28/2022,19306,59.0800
Gibraltar,32677,6/27/2022,19306,59.0800
Gibraltar,32677,6/26/2022,19306,59.0800
Gibraltar,32677,6/25/2022,19306,59.0800
Gibraltar,32677,6/24/2022,19306,59.0800
